Counterparty,total_sessions,avg_ops_per_session,avg_volume_per_session,max_ops_in_session,max_volume_in_session,avg_session_duration_minutes
P2P-6aed9d74,1,1.0,10000.0,1,10000.0,0.0
P2P-5485474r,1,1.0,55377.21,1,55377.21,0.0
Tezos_Baker,1,1.0,1000.0,1,1000.0,0.0
P2P-0c9aaaxh,1,1.0,8200.0,1,8200.0,0.0
P2P-fb212da6,1,1.0,20000.0,1,20000.0,0.0
P2P-bb561bea,1,1.0,12426.48,1,12426.48,0.0
P2P-2b82cbiz,1,1.0,205.82,1,205.82,0.0
P2P-74756e3n,1,1.0,37500.0,1,37500.0,0.0
P2P-5ddaa7qs,1,1.0,4154.92,1,4154.92,0.0
P2P-2060e2pw,1,1.0,5000.0,1,5000.0,0.0
P2P-b9e8bd97,1,1.0,19500.0,1,19500.0,0.0
P2P-a8edf6qu,1,2.0,3900.0,2,3900.0,17.78333333333333
P2P-9a7c2czb,1,1.0,55975.14,1,55975.14,0.0
P2P-688f27in,1,1.0,18932.03,1,18932.03,0.0
P2P-5b2530bj,1,1.0,6056.23,1,6056.23,0.0
P2P-3380aeeq,1,1.0,5500.0,1,5500.0,0.0
P2P-bc3c1at5,1,1.0,28046.33,1,28046.33,0.0
Madison2020,1,1.0,5000.0,1,5000.0,0.0
P2P-adaaf6mb,1,1.0,4000.0,1,4000.0,0.0
P2P-b288d9dc,1,1.0,5520.0,1,5520.0,0.0
P2P-d328441g,1,1.0,120.42,1,120.42,0.0
P2P-72528fj9,1,1.0,105718.14,1,105718.14,0.0
KiwichangeUY,1,2.0,20.09,2,20.09,4.8
P2P-295fdcys,1,1.0,18000.0,1,18000.0,0.0
P2P-c28e3bgg,1,1.0,100.0,1,100.0,0.0
CryptooP2P-,1,1.0,15825.48,1,15825.48,0.0
CryptoMefis,1,1.0,500.0,1,500.0,0.0
MCZUY,1,1.0,19600.0,1,19600.0,0.0
P2P-7d10eehy,1,1.0,5000.0,1,5000.0,0.0
P2P-ce9ad80r,1,1.0,46100.0,1,46100.0,0.0
P2P-497a2as0,1,1.0,10000.0,1,10000.0,0.0
P2P-77c976xy,1,1.0,22793.94,1,22793.94,0.0
Visequera,1,1.0,1000.0,1,1000.0,0.0
P2P-0b1d2exa,1,1.0,1894.53,1,1894.53,0.0
P2P-aab6888n,1,1.0,9720.82,1,9720.82,0.0
P2P-3312c2kp,1,1.0,120.66,1,120.66,0.0
P2P-979a36ft,1,1.0,100.0,1,100.0,0.0
P2P-1b8044xb,1,1.0,24052.83,1,24052.83,0.0
P2P-1fd30axl,1,1.0,2000.0,1,2000.0,0.0
P2P-b894beif,1,3.0,2635.92,3,2635.92,38.68333333333333
