Counterparty,year_month,monthly_operations,monthly_volume,avg_monthly_volume,payment_methods_monthly
P2P-9270afkm,2025-04,2,47000.0,23500.0,1
P2P-941aadlp,2025-04,1,6486.0,6486.0,1
P2P-94df26ob,2025-05,1,15000.0,15000.0,1
P2P-95cdffle,2025-04,2,74938.22,37469.11,1
P2P-9632d7u8,2025-04,1,37481.12,37481.12,1
P2P-96540dcm,2025-04,1,16889.42,16889.42,1
P2P-9680313t,2025-04,1,38000.0,38000.0,1
P2P-979a36ft,2025-04,1,100.0,100.0,1
P2P-990840cs,2025-04,1,10000.0,10000.0,1
P2P-993631ii,2025-04,2,80660.0,40330.0,2
P2P-995f9drw,2025-03,1,22200.0,22200.0,1
P2P-995f9drw,2025-04,2,46450.0,23225.0,1
P2P-9962e8g6,2025-04,1,37696.35,37696.35,1
P2P-9a7c2czb,2025-04,1,55975.14,55975.14,1
P2P-9b260fhn,2025-04,1,4515.0,4515.0,1
P2P-9b7001cz,2025-04,2,195.51999999999998,97.75999999999999,1
P2P-9b9f5fqt,2025-03,1,6000.0,6000.0,1
P2P-9bf649pi,2025-04,2,75283.32,37641.66,1
P2P-9c2db2zh,2025-04,1,5266.99,5266.99,1
P2P-9c5ee1d2,2025-04,1,22000.0,22000.0,1
P2P-9e22817n,2025-05,1,8792.19,8792.19,1
P2P-9e4ea2sp,2025-04,1,4012.0,4012.0,1
P2P-9e6860ta,2025-05,1,8945.4,8945.4,1
P2P-9fed50t7,2025-05,1,10000.0,10000.0,1
P2P-a07dd4pq,2025-04,2,44892.579999999994,22446.289999999997,1
P2P-a0a640m2,2025-04,1,22577.25,22577.25,1
P2P-a109deob,2025-05,2,7291.95,3645.975,1
P2P-a1e404h2,2025-04,1,17000.0,17000.0,1
P2P-a1fc8bta,2025-04,1,488.68,488.68,1
P2P-a2db87jm,2025-05,1,50000.0,50000.0,1
P2P-a2ee76n0,2025-05,1,5000.0,5000.0,1
P2P-a3e0664r,2025-03,1,2000.0,2000.0,1
P2P-a42ae0em,2025-04,1,30864.0,30864.0,1
P2P-a4c02fyy,2025-04,2,999.88,499.94,1
P2P-a54b1fiz,2025-05,1,10000.0,10000.0,1
P2P-a79d9blj,2025-03,1,53266.56,53266.56,1
P2P-a7ed35zs,2025-04,1,23293.81,23293.81,1
P2P-a8323cji,2025-03,1,22379.82,22379.82,1
P2P-a8a629np,2025-04,2,15260.0,7630.0,1
P2P-a8edf6qu,2025-03,2,3900.0,1950.0,1
P2P-aa29e44a,2025-04,1,10000.0,10000.0,1
P2P-aab6888n,2025-04,1,9720.82,9720.82,1
P2P-aad9deml,2025-04,1,6198.79,6198.79,1
P2P-ab01a3gj,2025-03,1,51139.49,51139.49,1
P2P-abb7fctk,2025-05,1,800.0,800.0,1
P2P-abb861nd,2025-03,1,15635.29,15635.29,1
P2P-abd0c8n7,2025-03,1,4430.0,4430.0,1
P2P-adaaf6mb,2025-05,1,4000.0,4000.0,1
P2P-ae7b0fif,2025-04,1,6000.0,6000.0,1
P2P-b05de51u,2025-03,1,8380.0,8380.0,1
P2P-b0b58ctm,2025-04,3,73686.42,24562.14,1
P2P-b0d06db7,2025-05,1,300.0,300.0,1
P2P-b16270ur,2025-03,1,156.72,156.72,1
P2P-b19535vo,2025-04,1,4500.0,4500.0,1
P2P-b19fd5fi,2025-05,1,330.0,330.0,1
P2P-b288d9dc,2025-05,1,5520.0,5520.0,1
P2P-b2a813t4,2025-04,1,13904.31,13904.31,1
P2P-b3bd895x,2025-04,2,201170.48,100585.24,2
P2P-b3c8cf3u,2025-05,2,20496.12,10248.06,1
P2P-b4646erv,2025-04,1,26906.28,26906.28,1
P2P-b46c86hw,2025-04,1,37500.0,37500.0,1
P2P-b4c861qe,2025-05,1,17218.15,17218.15,1
P2P-b5324bhc,2025-04,1,20000.0,20000.0,1
P2P-b6719bc7,2025-04,1,1220.11,1220.11,1
P2P-b6f26baj,2025-05,1,11077.67,11077.67,1
P2P-b70609bj,2025-04,1,1716.83,1716.83,1
P2P-b78d47da,2025-04,2,100765.07999999999,50382.53999999999,1
P2P-b7b4983u,2025-05,1,287.05,287.05,1
P2P-b81178qo,2025-05,1,2100.0,2100.0,1
P2P-b894beif,2025-04,3,2635.92,878.64,1
P2P-b8ea48es,2025-04,1,500.0,500.0,1
P2P-b96d19lo,2025-04,1,836.0,836.0,1
P2P-b9b3b7w9,2025-04,2,67481.12,33740.56,1
P2P-b9dd8fdt,2025-05,2,300.66,150.33,1
P2P-b9e8bd97,2025-05,1,19500.0,19500.0,1
P2P-bb561bea,2025-04,1,12426.48,12426.48,1
P2P-bbd542yf,2025-05,2,44004.4,22002.2,1
P2P-bc3c1at5,2025-04,1,28046.33,28046.33,1
P2P-bca1f2lm,2025-04,1,52000.0,52000.0,1
P2P-bd3d6dvi,2025-04,1,22321.77,22321.77,1
P2P-bddabebg,2025-05,3,18572.0,6190.666666666667,1
P2P-bee3bdla,2025-03,1,15404.26,15404.26,1
P2P-bee590wy,2025-05,1,200.0,200.0,1
P2P-bf6eecot,2025-04,1,53746.98,53746.98,1
P2P-c04b17kv,2025-03,1,440.69,440.69,1
P2P-c28e3bgg,2025-05,1,100.0,100.0,1
P2P-c2ec99nk,2025-04,1,22420.0,22420.0,1
P2P-c485a9pu,2025-04,1,20599.0,20599.0,1
P2P-c498ee3q,2025-05,1,572.0,572.0,1
P2P-c5334f0i,2025-04,1,300.0,300.0,1
P2P-c5525bjo,2025-04,2,80000.0,40000.0,1
P2P-c61f9dvk,2025-05,1,20000.0,20000.0,1
P2P-c6528csm,2025-04,1,38072.35,38072.35,1
P2P-c6e832b4,2025-04,1,38000.0,38000.0,1
P2P-c7cb37yq,2025-04,1,18028.57,18028.57,1
P2P-c8d34aot,2025-04,1,478.56,478.56,1
P2P-c9b50df9,2025-03,1,5859.0,5859.0,1
P2P-c9b50df9,2025-04,1,5859.0,5859.0,1
P2P-ca4e98ut,2025-03,1,80334.7,80334.7,1
P2P-cb2ff69y,2025-05,1,100.0,100.0,1
P2P-cb4aacxy,2025-05,1,6585.0,6585.0,1
P2P-cb8617ez,2025-04,2,47526.48,23763.24,1
P2P-cc12c4gn,2025-04,1,37769.5,37769.5,1
P2P-ccda2cht,2025-04,1,6152.2,6152.2,1
P2P-cdf4eefj,2025-04,1,6180.16,6180.16,1
P2P-ce4ce7bg,2025-04,1,4000.0,4000.0,1
P2P-ce9ad80r,2025-04,1,46100.0,46100.0,1
P2P-cf9dc2nv,2025-04,1,22940.61,22940.61,1
P2P-d08921gg,2025-03,1,18200.0,18200.0,1
P2P-d14daccb,2025-04,1,79955.0,79955.0,1
P2P-d17b99yo,2025-04,2,2012.88,1006.44,1
P2P-d17b99yo,2025-05,1,1513.44,1513.44,1
P2P-d21c47dq,2025-04,1,112.64,112.64,1
P2P-d21c47dq,2025-05,1,150.0,150.0,1
P2P-d238f8ea,2025-05,1,499.44,499.44,1
P2P-d262c0he,2025-03,1,53314.6,53314.6,1
P2P-d29332yr,2025-03,1,5000.0,5000.0,1
P2P-d328441g,2025-03,1,120.42,120.42,1
P2P-d3325cfj,2025-05,2,16000.0,8000.0,1
P2P-d4f4fdy2,2025-04,1,17791.22,17791.22,1
P2P-d531f4lo,2025-05,1,550.0,550.0,1
P2P-d6fe8d6c,2025-03,1,20350.0,20350.0,1
P2P-d6fe8d6c,2025-04,1,9320.32,9320.32,1
P2P-d77dc8fn,2025-05,1,21500.0,21500.0,1
