Counterparty,total_operations,total_volume,avg_volume_per_op,median_volume_per_op,total_quantity,avg_price,std_price,first_operation,last_operation,payment_methods_used,operation_types,days_active,operations_per_day,volume_per_day,price_cv,high_volume_vip,high_frequency_vip,daily_trader,long_term_trader,vip_score,vip_tier
P2P-0b816fx6,4,36000.0,9000.0,9000.0,818.16,44.0,0.0,2025-05-05T17:49:44.000000-0300,2025-05-05T19:00:59.000000-0300,1,1,0,4.0,36000.0,0.0,false,true,true,false,57.72570609023934,Silver
P2P-2efb3agn,1,117000.0,117000.0,117000.0,2657.27,44.03,,2025-05-10T21:46:42.000000-0300,2025-05-10T21:46:42.000000-0300,1,1,0,1.0,117000.0,,true,false,false,false,57.0,Silver
P2P-72528fj9,1,105718.14,105718.14,105718.14,2470.05,42.8,,2025-05-23T19:51:39.000000-0300,2025-05-23T19:51:39.000000-0300,1,1,0,1.0,105718.14,,true,false,false,false,57.0,Silver
P2P-6e9da4qu,1,100000.0,100000.0,100000.0,2222.22,45.0,,2025-04-28T17:11:34.000000-0300,2025-04-28T17:11:34.000000-0300,1,1,0,1.0,100000.0,,true,false,false,false,57.0,Silver
P2P-5466a6qe,1,97350.0,97350.0,97350.0,2193.06,44.39,,2025-03-31T19:40:12.000000-0300,2025-03-31T19:40:12.000000-0300,1,1,0,1.0,97350.0,,true,false,false,false,57.0,Silver
P2P-ca4e98ut,1,80334.7,80334.7,80334.7,1818.35,44.18,,2025-03-31T15:56:57.000000-0300,2025-03-31T15:56:57.000000-0300,1,1,0,1.0,80334.7,,true,false,false,false,57.0,Silver
P2P-d14daccb,1,79955.0,79955.0,79955.0,1701.89,46.98,,2025-04-08T18:39:58.000000-0300,2025-04-08T18:39:58.000000-0300,1,1,0,1.0,79955.0,,true,false,false,false,57.0,Silver
P2P-500294mc,1,74586.0,74586.0,74586.0,1600.9,46.59,,2025-04-15T17:56:06.000000-0300,2025-04-15T17:56:06.000000-0300,1,1,0,1.0,74586.0,,true,false,false,false,57.0,Silver
Capicua373,1,72000.0,72000.0,72000.0,1611.45,44.68,,2025-04-02T16:33:28.000000-0300,2025-04-02T16:33:28.000000-0300,1,1,0,1.0,72000.0,,true,false,false,false,57.0,Silver
P2P-6bd909ei,1,66000.0,66000.0,66000.0,1454.38,45.38,,2025-04-28T14:24:16.000000-0300,2025-04-28T14:24:16.000000-0300,1,1,0,1.0,66000.0,,true,false,false,false,57.0,Silver
P2P-3b1d6efv,1,63000.0,63000.0,63000.0,1448.94,43.48,,2025-05-13T15:16:47.000000-0300,2025-05-13T15:16:47.000000-0300,1,1,0,1.0,63000.0,,true,false,false,false,57.0,Silver
P2P-54468f6a,1,63000.0,63000.0,63000.0,1409.71,44.69,,2025-03-25T12:04:57.000000-0300,2025-03-25T12:04:57.000000-0300,1,1,0,1.0,63000.0,,true,false,false,false,57.0,Silver
BrianCryptos,1,60000.0,60000.0,60000.0,1339.28,44.8,,2025-04-01T23:23:55.000000-0300,2025-04-01T23:23:55.000000-0300,1,1,0,1.0,60000.0,,true,false,false,false,57.0,Silver
P2P-26e006xl,1,60000.0,60000.0,60000.0,1371.11,43.76,,2025-05-27T20:43:43.000000-0300,2025-05-27T20:43:43.000000-0300,1,1,0,1.0,60000.0,,true,false,false,false,57.0,Silver
P2P-34593exm,1,59500.0,59500.0,59500.0,1259.52,47.24,,2025-04-09T18:46:46.000000-0300,2025-04-09T18:46:46.000000-0300,1,1,0,1.0,59500.0,,true,false,false,false,57.0,Silver
P2P-9a7c2czb,1,55975.14,55975.14,55975.14,1196.05,46.8,,2025-04-09T12:50:50.000000-0300,2025-04-09T12:50:50.000000-0300,1,1,0,1.0,55975.14,,true,false,false,false,57.0,Silver
P2P-88fb85ju,1,55883.3,55883.3,55883.3,1202.05,46.49,,2025-04-07T18:33:09.000000-0300,2025-04-07T18:33:09.000000-0300,1,1,0,1.0,55883.3,,false,false,false,false,56.934370865352015,Silver
