Counterparty,total_operations,total_volume,avg_volume_per_op,median_volume_per_op,total_quantity,avg_price,std_price,first_operation,last_operation,payment_methods_used,operation_types,days_active,operations_per_day,volume_per_day,price_cv,high_volume_vip,high_frequency_vip,daily_trader,long_term_trader,vip_score,vip_tier
UruguayChange,1,22000.0,22000.0,22000.0,509.37,43.19,,2025-05-15T18:19:16.000000-0300,2025-05-15T18:19:16.000000-0300,1,1,0,1.0,22000.0,,false,false,false,false,33.3949941611464,Bronze
P2P-5ff10350,1,22000.0,22000.0,22000.0,500.0,44.0,,2025-05-05T20:27:36.000000-0300,2025-05-05T20:27:36.000000-0300,1,1,0,1.0,22000.0,,false,false,false,false,33.3949941611464,Bronze
NicoGonzalezUy,1,21902.19,21902.19,21902.19,500.05,43.8,,2025-05-09T19:37:17.000000-0300,2025-05-09T19:37:17.000000-0300,1,1,0,1.0,21902.19,,false,false,false,false,33.32210350755995,Bronze
P2P-2caf952c,1,21789.0,21789.0,21789.0,491.29,44.35,,2025-03-25T20:00:18.000000-0300,2025-03-25T20:00:18.000000-0300,1,1,0,1.0,21789.0,,false,false,false,false,33.23775126260085,Bronze
P2P-e097b84k,1,21700.0,21700.0,21700.0,488.84,44.39,,2025-03-31T17:56:27.000000-0300,2025-03-31T17:56:27.000000-0300,1,1,0,1.0,21700.0,,false,false,false,false,33.171426058948946,Bronze
P2P-fbbb88zh,1,21500.0,21500.0,21500.0,486.53,44.19,,2025-03-21T12:45:48.000000-0300,2025-03-21T12:45:48.000000-0300,1,1,0,1.0,21500.0,,false,false,false,false,33.02238065748398,Bronze
Cryptoagil,2,1200.0,600.0,600.0,1132.06,1.06,0.0,2024-07-19T15:01:16.000000-0300,2024-07-19T15:02:09.000000-0300,1,1,0,2.0,1200.0,0.0,false,true,true,false,32.8942724087898,Bronze
P2P-f75848v6,1,21310.0,21310.0,21310.0,451.1,47.24,,2025-04-13T20:18:20.000000-0300,2025-04-13T20:18:20.000000-0300,1,1,0,1.0,21310.0,,false,false,false,false,32.88078752609226,Bronze
GulagGhost,2,600.0,300.0,300.0,579.7,1.035,0.0,2025-05-13T18:37:28.000000-0300,2025-05-13T18:52:21.000000-0300,1,1,0,2.0,600.0,0.0,false,true,true,false,32.4471362043949,Bronze
juanisantana,2,600.0,300.0,300.0,566.02,1.06,0.0,2024-08-08T01:09:33.000000-0300,2024-08-08T01:28:27.000000-0300,1,1,0,2.0,600.0,0.0,false,true,true,false,32.4471362043949,Bronze
P2P-76b381xc,1,20551.0,20551.0,20551.0,463.9,44.3,,2025-03-21T22:25:33.000000-0300,2025-03-21T22:25:33.000000-0300,1,1,0,1.0,20551.0,,false,false,false,false,32.31516022753271,Bronze
P2P-d6fe8d6c,1,20350.0,20350.0,20350.0,457.3,44.5,,2025-03-25T18:37:06.000000-0300,2025-03-25T18:37:06.000000-0300,1,1,0,1.0,20350.0,,false,false,false,false,32.16536959906041,Bronze
P2P-7853865x,1,20310.23,20310.23,20310.23,453.05,44.83,,2025-04-02T13:05:17.000000-0300,2025-04-02T13:05:17.000000-0300,1,1,0,1.0,20310.23,,false,false,false,false,32.13573192097911,Bronze
P2P-c61f9dvk,1,20000.0,20000.0,20000.0,456.62,43.8,,2025-05-13T00:24:35.000000-0300,2025-05-13T00:24:35.000000-0300,1,1,0,1.0,20000.0,,false,false,false,false,31.904540146496725,Bronze
Ganamosss,1,20000.0,20000.0,20000.0,451.46,44.3,,2025-03-21T21:43:56.000000-0300,2025-03-21T21:43:56.000000-0300,1,1,0,1.0,20000.0,,false,false,false,false,31.904540146496725,Bronze
P2P-2912c707,1,20000.0,20000.0,20000.0,466.96,42.83,,2025-05-20T22:49:57.000000-0300,2025-05-20T22:49:57.000000-0300,1,1,0,1.0,20000.0,,false,false,false,false,31.904540146496725,Bronze
Elhombregsto,1,20000.0,20000.0,20000.0,427.8,46.75,,2025-04-09T16:00:50.000000-0300,2025-04-09T16:00:50.000000-0300,1,1,0,1.0,20000.0,,false,false,false,false,31.904540146496725,Bronze
P2P-7b4cc2q5,1,20000.0,20000.0,20000.0,450.55,44.39,,2025-03-31T19:04:01.000000-0300,2025-03-31T19:04:01.000000-0300,1,1,0,1.0,20000.0,,false,false,false,false,31.904540146496725,Bronze
P2P-b9e8bd97,1,19500.0,19500.0,19500.0,444.29,43.89,,2025-05-08T18:17:19.000000-0300,2025-05-08T18:17:19.000000-0300,1,1,0,1.0,19500.0,,false,false,false,false,31.531926642834307,Bronze
P2P-688f27in,1,18932.03,18932.03,18932.03,405.05,46.74,,2025-04-14T19:35:03.000000-0300,2025-04-14T19:35:03.000000-0300,1,1,0,1.0,18932.03,,false,false,false,false,31.10866005948402,Bronze
MCriptoUru_,1,18241.0,18241.0,18241.0,393.63,46.34,,2025-04-06T18:18:40.000000-0300,2025-04-06T18:18:40.000000-0300,1,1,0,1.0,18241.0,,false,false,false,false,30.593685840612338,Bronze
P2P-d08921gg,1,18200.0,18200.0,18200.0,410.0,44.39,,2025-03-31T18:06:52.000000-0300,2025-03-31T18:06:52.000000-0300,1,1,0,1.0,18200.0,,false,false,false,false,30.56313153331202,Bronze
P2P-b4c861qe,1,17218.15,17218.15,17218.15,400.05,43.04,,2025-05-19T20:58:56.000000-0300,2025-05-19T20:58:56.000000-0300,1,1,0,1.0,17218.15,,false,false,false,false,29.831430396170127,Bronze
P2P-a1e404h2,1,17000.0,17000.0,17000.0,363.63,46.75,,2025-04-09T16:55:24.000000-0300,2025-04-09T16:55:24.000000-0300,1,1,0,1.0,17000.0,,false,false,false,false,29.668859124522214,Bronze
P2P-306869s8,1,16000.0,16000.0,16000.0,372.17,42.99,,2025-05-28T15:38:38.000000-0300,2025-05-28T15:38:38.000000-0300,1,1,0,1.0,16000.0,,false,false,false,false,28.92363211719738,Bronze
Zyskie,1,16000.0,16000.0,16000.0,369.6,43.29,,2025-05-25T23:29:45.000000-0300,2025-05-25T23:29:45.000000-0300,1,1,0,1.0,16000.0,,false,false,false,false,28.92363211719738,Bronze
Lorenzetti-17,1,15254.66,15254.66,15254.66,345.05,44.21,,2025-04-30T19:41:20.000000-0300,2025-04-30T19:41:20.000000-0300,1,1,0,1.0,15254.66,,false,false,false,false,28.368184619557887,Bronze
P2P-43f9a3wy,1,15000.0,15000.0,15000.0,322.65,46.49,,2025-04-07T16:26:03.000000-0300,2025-04-07T16:26:03.000000-0300,1,1,0,1.0,15000.0,,false,false,false,false,28.178405109872543,Bronze
P2P-6dca87kb,1,15000.0,15000.0,15000.0,320.03,46.87,,2025-04-09T21:43:43.000000-0300,2025-04-09T21:43:43.000000-0300,1,1,0,1.0,15000.0,,false,false,false,false,28.178405109872543,Bronze
P2P-f8a5fcbs,1,15000.0,15000.0,15000.0,337.91,44.39,,2025-03-31T20:02:31.000000-0300,2025-03-31T20:02:31.000000-0300,1,1,0,1.0,15000.0,,false,false,false,false,28.178405109872543,Bronze
P2P-6cc015hc,1,15000.0,15000.0,15000.0,337.83,44.4,,2025-03-24T13:23:50.000000-0300,2025-03-24T13:23:50.000000-0300,1,1,0,1.0,15000.0,,false,false,false,false,28.178405109872543,Bronze
DTJUY,1,15000.0,15000.0,15000.0,330.39,45.4,,2025-03-11T21:00:57.000000-0300,2025-03-11T21:00:57.000000-0300,1,1,0,1.0,15000.0,,false,false,false,false,28.178405109872543,Bronze
P2P-ff54fa0s,1,14900.0,14900.0,14900.0,347.4,42.89,,2025-05-20T17:18:49.000000-0300,2025-05-20T17:18:49.000000-0300,1,1,0,1.0,14900.0,,false,false,false,false,28.10388240914006,Bronze
P2P-6c79d2ws,1,14704.85,14704.85,14704.85,326.05,45.1,,2025-04-02T21:07:41.000000-0300,2025-04-02T21:07:41.000000-0300,1,1,0,1.0,14704.85,,false,false,false,false,27.958451358660618,Bronze
P2P-91057azg,1,14063.34,14063.34,14063.34,300.05,46.87,,2025-04-09T21:26:22.000000-0300,2025-04-09T21:26:22.000000-0300,1,1,0,1.0,14063.34,,false,false,false,false,27.480380781191663,Bronze
P2P-641ec0rg,1,13822.57,13822.57,13822.57,296.05,46.69,,2025-04-12T15:55:17.000000-0300,2025-04-12T15:55:17.000000-0300,1,1,0,1.0,13822.57,,false,false,false,false,27.30095247463806,Bronze
P2P-3804d0yt,1,13800.0,13800.0,13800.0,308.86,44.68,,2025-03-25T22:31:22.000000-0300,2025-03-25T22:31:22.000000-0300,1,1,0,1.0,13800.0,,false,false,false,false,27.28413270108274,Bronze
P2P-5f308diy,1,13718.95,13718.95,13718.95,296.05,46.34,,2025-04-06T19:16:47.000000-0300,2025-04-06T19:16:47.000000-0300,1,1,0,1.0,13718.95,,false,false,false,false,27.223732052139063,Bronze
P2P-55cdd7ej,1,13405.0,13405.0,13405.0,301.23,44.5,,2025-03-25T17:06:40.000000-0300,2025-03-25T17:06:40.000000-0300,1,1,0,1.0,13405.0,,false,false,false,false,26.989768033189428,Bronze
P2P-64f581sr,1,13306.41,13306.41,13306.41,301.05,44.2,,2025-03-31T15:39:27.000000-0300,2025-03-31T15:39:27.000000-0300,1,1,0,1.0,13306.41,,false,false,false,false,26.916296102537274,Bronze
P2P-8ee834xt,1,13200.0,13200.0,13200.0,282.65,46.7,,2025-04-11T13:29:03.000000-0300,2025-04-11T13:29:03.000000-0300,1,1,0,1.0,13200.0,,false,false,false,false,26.83699649668784,Bronze
P2P-39d1bcn0,1,13000.0,13000.0,13000.0,283.22,45.9,,2025-04-05T16:15:19.000000-0300,2025-04-05T16:15:19.000000-0300,1,1,0,1.0,13000.0,,false,false,false,false,26.68795109522287,Bronze
P2P-85f40bca,1,12800.0,12800.0,12800.0,297.32,43.05,,2025-05-15T12:43:36.000000-0300,2025-05-15T12:43:36.000000-0300,1,1,0,1.0,12800.0,,false,false,false,false,26.538905693757904,Bronze
P2P-7d6773bi,1,12000.0,12000.0,12000.0,277.45,43.25,,2025-05-24T16:16:01.000000-0300,2025-05-24T16:16:01.000000-0300,1,1,0,1.0,12000.0,,false,false,false,false,25.942724087898036,Bronze
ArmanddUSDT,1,12000.0,12000.0,12000.0,265.78,45.15,,2025-03-11T19:05:51.000000-0300,2025-03-11T19:05:51.000000-0300,1,1,0,1.0,12000.0,,false,false,false,false,25.942724087898036,Bronze
P2P-ee12052y,1,11500.0,11500.0,11500.0,259.06,44.39,,2025-03-31T16:16:29.000000-0300,2025-03-31T16:16:29.000000-0300,1,1,0,1.0,11500.0,,false,false,false,false,25.570110584235614,Bronze
JaviCambio,1,10982.25,10982.25,10982.25,244.05,45.0,,2025-04-02T22:05:36.000000-0300,2025-04-02T22:05:36.000000-0300,1,1,0,1.0,10982.25,,false,false,false,false,25.184269301193183,Bronze
P2P-6aed9d74,1,10000.0,10000.0,10000.0,226.34,44.18,,2025-03-31T15:49:11.000000-0300,2025-03-31T15:49:11.000000-0300,1,1,0,1.0,10000.0,,false,false,false,false,24.452270073248364,Bronze
P2P-3ceb7abv,1,10000.0,10000.0,10000.0,213.35,46.87,,2025-04-08T20:01:03.000000-0300,2025-04-08T20:01:03.000000-0300,1,1,0,1.0,10000.0,,false,false,false,false,24.452270073248364,Bronze
P2P-a54b1fiz,1,10000.0,10000.0,10000.0,228.31,43.8,,2025-05-12T21:51:17.000000-0300,2025-05-12T21:51:17.000000-0300,1,1,0,1.0,10000.0,,false,false,false,false,24.452270073248364,Bronze
