session_id,num_operations,total_volume,volume_volatility,q75_volume,q25_volume,session_start,session_end,duration_minutes,volume_iqr,volume_efficiency,consistency_score,intensity_score
786,2,3100.0,777.8174593052023,2100.0,1000.0,2024-03-11T15:27:08.000000-0300,2024-03-11T15:52:41.000000-0300,25.55,1100.0,121.33072407045009,3.9855109485059947,0.07827788649706457
908,1,365.0,,365.0,365.0,2024-07-13T13:30:06.000000-0300,2024-07-13T13:30:06.000000-0300,0.0,0.0,36500.0,,100.0
1045,1,30000.0,,30000.0,30000.0,2025-04-28T23:03:18.000000-0300,2025-04-28T23:03:18.000000-0300,0.0,0.0,3000000.0,,100.0
783,1,960.0,,960.0,960.0,2024-03-09T13:23:11.000000-0300,2024-03-09T13:23:11.000000-0300,0.0,0.0,96000.0,,100.0
1018,1,15000.0,,15000.0,15000.0,2025-04-07T16:26:03.000000-0300,2025-04-07T16:26:03.000000-0300,0.0,0.0,1500000.0,,100.0
887,2,2140.0,0.0,1070.0,1070.0,2024-05-31T10:57:38.000000-0300,2024-05-31T11:08:08.000000-0300,10.5,0.0,203.8095238095238,100.0,0.19047619047619047
506,2,400.0,0.0,200.0,200.0,2023-11-08T22:51:07.000000-0300,2023-11-08T22:54:41.000000-0300,3.5666666666666664,0.0,112.14953271028038,100.0,0.5607476635514019
512,3,4760.719999999999,1128.5632929230565,2450.72,2000.0,2023-11-13T12:55:00.000000-0300,2023-11-13T13:21:54.000000-0300,26.9,450.7199999999998,176.97843866171002,4.218389903209954,0.11152416356877325
238,1,2035.0,,2035.0,2035.0,2022-12-11T22:00:52.000000-0300,2022-12-11T22:00:52.000000-0300,0.0,0.0,203500.0,,100.0
375,1,1030.0,,1030.0,1030.0,2023-08-17T11:42:56.000000-0300,2023-08-17T11:42:56.000000-0300,0.0,0.0,103000.0,,100.0
1024,1,23074.74,,23074.74,23074.74,2025-04-09T14:14:23.000000-0300,2025-04-09T14:14:23.000000-0300,0.0,0.0,2307474.0,,100.0
765,1,1000.0,,1000.0,1000.0,2024-02-21T11:22:08.000000-0300,2024-02-21T11:22:08.000000-0300,0.0,0.0,100000.0,,100.0
649,2,1011.97,149.8854244081125,611.97,400.0,2023-12-13T22:43:06.000000-0300,2023-12-13T22:46:52.000000-0300,3.7666666666666666,211.97000000000003,268.66460176991154,6.751623808627168,0.5309734513274337
381,1,1800.0,,1800.0,1800.0,2023-08-20T12:25:36.000000-0300,2023-08-20T12:25:36.000000-0300,0.0,0.0,180000.0,,100.0
1027,2,95190.36,12862.526908224527,56690.36,38500.0,2025-04-09T18:26:42.000000-0300,2025-04-09T18:48:08.000000-0300,21.433333333333334,18190.36,4441.229860031104,7.400595596743405,0.09331259720062209
902,1,1000.0,,1000.0,1000.0,2024-06-14T15:50:13.000000-0300,2024-06-14T15:50:13.000000-0300,0.0,0.0,100000.0,,100.0
774,1,522.5,,522.5,522.5,2024-03-04T09:14:00.000000-0300,2024-03-04T09:14:00.000000-0300,0.0,0.0,52250.0,,100.0
241,1,516.63,,516.63,516.63,2022-12-15T09:44:58.000000-0300,2022-12-15T09:44:58.000000-0300,0.0,0.0,51663.0,,100.0
521,1,1000.0,,1000.0,1000.0,2023-11-17T10:13:21.000000-0300,2023-11-17T10:13:21.000000-0300,0.0,0.0,100000.0,,100.0
247,1,303.41,,303.41,303.41,2022-12-20T17:04:32.000000-0300,2022-12-20T17:04:32.000000-0300,0.0,0.0,30341.000000000004,,100.0
250,1,81.0,,81.0,81.0,2023-01-08T22:41:04.000000-0300,2023-01-08T22:41:04.000000-0300,0.0,0.0,8100.0,,100.0
235,1,8370.0,,8370.0,8370.0,2022-12-11T17:53:32.000000-0300,2022-12-11T17:53:32.000000-0300,0.0,0.0,837000.0,,100.0
634,2,17000.0,0.0,8500.0,8500.0,2023-12-11T22:07:47.000000-0300,2023-12-11T22:08:37.000000-0300,0.8333333333333334,0.0,20400.0,100.0,2.4
372,1,520.0,,520.0,520.0,2023-08-13T10:35:27.000000-0300,2023-08-13T10:35:27.000000-0300,0.0,0.0,52000.0,,100.0
119,1,2600.0,,2600.0,2600.0,2022-08-19T15:50:26.000000-0300,2022-08-19T15:50:26.000000-0300,0.0,0.0,260000.0,,100.0
893,1,1110.04,,1110.04,1110.04,2024-06-03T23:29:11.000000-0300,2024-06-03T23:29:11.000000-0300,0.0,0.0,111004.0,,100.0
905,1,318.5,,318.5,318.5,2024-07-11T03:43:19.000000-0300,2024-07-11T03:43:19.000000-0300,0.0,0.0,31850.0,,100.0
643,1,51574.0,,51574.0,51574.0,2023-12-13T16:11:44.000000-0300,2023-12-13T16:11:44.000000-0300,0.0,0.0,5157400.0,,100.0
125,1,4140.0,,4140.0,4140.0,2022-08-25T17:56:18.000000-0300,2022-08-25T17:56:18.000000-0300,0.0,0.0,414000.0,,100.0
646,2,25750.4,4066.146834535122,15750.4,10000.0,2023-12-13T18:00:58.000000-0300,2023-12-13T18:29:24.000000-0300,28.433333333333334,5750.4,905.641266119578,6.33287508982543,0.07033997655334115
917,1,1500.0,,1500.0,1500.0,2024-07-28T06:18:20.000000-0300,2024-07-28T06:18:20.000000-0300,0.0,0.0,150000.0,,100.0
